price,sqft,bedrooms,bathrooms,year_built,house_age,loc_Downtown,loc_Mountain,loc_Rural,loc_Suburb,loc_Urban,loc_Waterfront,condition_encoded,total_rooms,bath_bed_ratio,is_luxury,is_new,sqft_per_bedroom,log_price
495000.0,-1.0284206506288427,-1.011778969174817,-0.8385566513510486,1956,1.3436903829863256,False,False,False,True,False,False,2,-0.9460113705652382,-0.06430291618476855,0,0,-0.1129249398531609,13.112315061750808
752000.0,0.5176925622804333,0.16862982819580272,0.3759047057780559,1998,-0.8229182418654825,True,False,False,False,False,False,3,0.2765264006267621,0.563772079108322,1,0,0.855380721254435,13.530492932718326
319000.0,-0.8813928676194521,-1.011778969174817,-0.8385566513510486,1975,0.3635579098390791,False,False,True,False,False,False,1,-0.9460113705652382,-0.06430291618476855,0,0,0.4729924983966583,12.672949516558306
1210000.0,1.4091452255794752,1.3490386255664224,0.9831353843426082,2005,-1.1840196793407838,False,False,False,False,False,True,3,1.1934297290207623,-0.06430291618476855,1,0,0.03509630770468815,14.006131744018864
462000.0,-0.5517411015036605,-1.011778969174817,-0.23132597278649636,1982,0.002456472363777735,False,False,False,False,True,False,2,-0.6403769277672382,1.8199220696945024,0,0,1.7866810704725686,13.043322334563697
401000.0,-0.6956735627654851,-1.011778969174817,-0.8385566513510486,1963,0.9825889455110243,False,False,False,True,False,False,2,-0.9460113705652382,-0.06430291618476855,0,0,1.2130987361859036,12.901719200051183
891000.0,1.1739007727644504,0.16862982819580272,0.3759047057780559,2001,-0.9776760007834687,True,False,False,False,False,False,3,0.2765264006267621,0.563772079108322,1,0,2.5987420813802133,13.700100828786772
276000.0,-1.190925042376064,-1.011778969174817,-1.4457873299156008,1952,1.5500340615436405,False,False,True,False,False,False,1,-1.2516458133632382,-1.9485279020640396,0,0,-0.7605178979187506,12.52815976788113
1261750.0,2.5667955591692033,2.529447422937042,2.804827420036265,2012,-1.5451211168160852,False,False,False,False,False,True,3,2.7216019430107625,1.0662320753427943,1,1,-0.032746764092659336,14.048010996752225
527000.0,-0.2809004485916252,0.16862982819580272,-0.23132597278649636,1993,-0.5649886436688386,False,False,False,False,True,False,2,-0.029108042171238,-0.6923779114778591,0,0,-1.2662571604080681,13.174957725054906
338000.0,-1.031515972376409,-1.011778969174817,-0.8385566513510486,1965,0.8794171062323667,False,False,False,True,False,False,1,-0.9460113705652382,-0.06430291618476855,0,0,-0.125260043816315,12.73080413304066
615000.0,0.05958494364064777,0.16862982819580272,-0.23132597278649636,1986,-0.2038872061935373,True,False,False,False,False,False,2,-0.029108042171238,-0.6923779114778591,0,0,-0.3616828697767679,13.329379172803593
298000.0,-0.8380583631535264,-1.011778969174817,-0.8385566513510486,1958,1.240518543707668,False,False,True,False,False,False,1,-0.9460113705652382,-0.06430291618476855,0,0,0.6456839538808156,12.604852121186608
1140000.0,1.3286668601427563,1.3490386255664224,1.5903660629071603,2003,-1.0808478400621262,False,False,False,False,False,True,3,1.4990641718187625,0.8778095767548669,1,0,-0.125260043816315,13.946539697563276
482000.0,-0.4124516228631852,0.16862982819580272,-0.23132597278649636,1979,0.157214231281764,False,False,False,False,True,False,2,-0.029108042171238,-0.6923779114778591,0,0,-1.6157517726974344,13.085701467719382
425000.0,-0.7297221019887123,-1.011778969174817,-0.23132597278649636,1970,0.6214875080357228,False,False,False,True,False,False,2,-0.6403769277672382,1.8199220696945024,0,0,1.0774125925912086,12.959846800844963
